# 
# runname = 'GJ1214'; g = 1.0650e+03; mgas = 8.3027e-24; rho_int = 2.8000e+00; an = 1.0000e-07; mn0 = 1.1729e-20; f_stick = 1.0000e+00; T_star = 3.1100e+03; cs_com = 8.0000e-15; cs_mol = 2.0000e-15; Pref = 1.0000e+06; R_star = 1.5040e+10; Rp = 1.7516e+09; rp = 2.2290e+11; gibbsfile = '/home/helong/ARCiS/code/tables/gibbs_test.txt'; rootdir = '/home/helong/ARCiS/code'; 
# 2Na + 2HCl -> 2NaCl(s) + H2; 2K + 2HCl -> 2KCl(s) + H2; Zn + H2S -> ZnS(s) + H2; 2Na + H2S -> Na2S(s) + H2; 
#cols::logP T(K) rhop(gcm-3) ap(cm) Sn NaCl(s) KCl(s) ZnS(s) Na2S(s) Na HCl K Zn H2S nuclei
  1.4921e+00  5.0430e+02  2.0234e+00  3.0828e-06  4.3979e-59  8.9312e-14  1.4769e-08  3.7967e-08  2.1560e-07  7.2595e-15  1.8672e-17  2.7955e-05  3.3486e-18  7.6148e-03  1.2674e-11
  1.5128e+00  5.0431e+02  2.0234e+00  3.0828e-06  1.6798e-58  1.0165e-13  1.6810e-08  4.3213e-08  2.4540e-07  7.2409e-15  1.8631e-17  2.7955e-05  3.3455e-18  7.6148e-03  1.4426e-11
  1.5335e+00  5.0431e+02  2.0234e+00  3.0828e-06  6.3479e-58  1.1542e-13  1.9085e-08  4.9063e-08  2.7861e-07  7.2202e-15  1.8586e-17  2.7955e-05  3.3420e-18  7.6148e-03  1.6379e-11
  1.5542e+00  5.0431e+02  2.0234e+00  3.0828e-06  2.3733e-57  1.3072e-13  2.1616e-08  5.5568e-08  3.1556e-07  7.1973e-15  1.8536e-17  2.7955e-05  3.3380e-18  7.6148e-03  1.8550e-11
  1.5749e+00  5.0432e+02  2.0234e+00  3.0828e-06  8.7789e-57  1.4770e-13  2.4423e-08  6.2786e-08  3.5654e-07  7.1722e-15  1.8481e-17  2.7955e-05  3.3335e-18  7.6148e-03  2.0960e-11
  1.5955e+00  5.0432e+02  2.0234e+00  3.0828e-06  3.2127e-56  1.6649e-13  2.7531e-08  7.0774e-08  4.0190e-07  7.1446e-15  1.8421e-17  2.7955e-05  3.3285e-18  7.6148e-03  2.3626e-11
  1.6162e+00  5.0433e+02  2.0234e+00  3.0828e-06  1.1632e-55  1.8724e-13  3.0962e-08  7.9594e-08  4.5199e-07  7.1145e-15  1.8355e-17  2.7955e-05  3.3229e-18  7.6148e-03  2.6571e-11
  1.6369e+00  5.0433e+02  2.0234e+00  3.0828e-06  4.1670e-55  2.1009e-13  3.4741e-08  8.9310e-08  5.0717e-07  7.0817e-15  1.8284e-17  2.7955e-05  3.3166e-18  7.6148e-03  2.9815e-11
  1.6576e+00  5.0434e+02  2.0234e+00  3.0828e-06  1.4768e-54  2.3522e-13  3.8896e-08  9.9990e-08  5.6781e-07  7.0461e-15  1.8207e-17  2.7955e-05  3.3097e-18  7.6148e-03  3.3380e-11
  1.6783e+00  5.0434e+02  2.0234e+00  3.0828e-06  5.1783e-54  2.6277e-13  4.3451e-08  1.1170e-07  6.3432e-07  7.0077e-15  1.8124e-17  2.7955e-05  3.3021e-18  7.6148e-03  3.7290e-11
  1.6990e+00  5.0435e+02  2.0234e+00  3.0828e-06  1.7964e-53  2.9292e-13  4.8437e-08  1.2452e-07  7.0710e-07  6.9662e-15  1.8035e-17  2.7955e-05  3.2936e-18  7.6148e-03  4.1568e-11
  1.7196e+00  5.0435e+02  2.0234e+00  3.0828e-06  6.1656e-53  3.2584e-13  5.3881e-08  1.3851e-07  7.8657e-07  6.9218e-15  1.7940e-17  2.7955e-05  3.2844e-18  7.6148e-03  4.6240e-11
  1.7403e+00  5.0436e+02  2.0234e+00  3.0828e-06  2.0936e-52  3.6171e-13  5.9812e-08  1.5376e-07  8.7316e-07  6.8741e-15  1.7838e-17  2.7955e-05  3.2742e-18  7.6148e-03  5.1331e-11
  1.7610e+00  5.0436e+02  2.0234e+00  3.0828e-06  7.0337e-52  4.0071e-13  6.6262e-08  1.7034e-07  9.6732e-07  6.8234e-15  1.7730e-17  2.7955e-05  3.2631e-18  7.6148e-03  5.6867e-11
  1.7817e+00  5.0437e+02  2.0234e+00  3.0828e-06  2.3379e-51  4.4304e-13  7.3261e-08  1.8833e-07  1.0695e-06  6.7694e-15  1.7617e-17  2.7955e-05  3.2510e-18  7.6148e-03  6.2874e-11
  1.8024e+00  5.0438e+02  2.0234e+00  3.0828e-06  7.6881e-51  4.8888e-13  8.0842e-08  2.0782e-07  1.1802e-06  6.7123e-15  1.7497e-17  2.7955e-05  3.2379e-18  7.6148e-03  6.9381e-11
  1.8230e+00  5.0438e+02  2.0234e+00  3.0828e-06  2.5013e-50  5.3843e-13  8.9035e-08  2.2888e-07  1.2998e-06  6.6520e-15  1.7371e-17  2.7955e-05  3.2237e-18  7.6148e-03  7.6413e-11
  1.8437e+00  5.0439e+02  2.0234e+00  3.0828e-06  8.0514e-50  5.9189e-13  9.7875e-08  2.5161e-07  1.4288e-06  6.5886e-15  1.7240e-17  2.7955e-05  3.2083e-18  7.6148e-03  8.4001e-11
  1.8644e+00  5.0439e+02  2.0234e+00  3.0827e-06  2.5641e-49  6.4945e-13  1.0739e-07  2.7608e-07  1.5678e-06  6.5222e-15  1.7104e-17  2.7955e-05  3.1918e-18  7.6148e-03  9.2171e-11
  1.8851e+00  5.0440e+02  2.0234e+00  3.0827e-06  8.0788e-49  7.1132e-13  1.1762e-07  3.0238e-07  1.7171e-06  6.4527e-15  1.6962e-17  2.7955e-05  3.1741e-18  7.6148e-03  1.0095e-10
  1.9058e+00  5.0441e+02  2.0234e+00  3.0827e-06  2.5184e-48  7.7769e-13  1.2860e-07  3.3059e-07  1.8773e-06  6.3804e-15  1.6816e-17  2.7955e-05  3.1552e-18  7.6148e-03  1.1037e-10
  1.9265e+00  5.0441e+02  2.0234e+00  3.0827e-06  7.7669e-48  8.4878e-13  1.4035e-07  3.6081e-07  2.0489e-06  6.3054e-15  1.6666e-17  2.7955e-05  3.1351e-18  7.6148e-03  1.2046e-10
  1.9471e+00  5.0442e+02  2.0234e+00  3.0827e-06  2.3699e-47  9.2477e-13  1.5292e-07  3.9311e-07  2.2324e-06  6.2278e-15  1.6513e-17  2.7955e-05  3.1137e-18  7.6148e-03  1.3125e-10
  1.9678e+00  5.0443e+02  2.0234e+00  3.0827e-06  7.1543e-47  1.0059e-12  1.6633e-07  4.2759e-07  2.4282e-06  6.1479e-15  1.6356e-17  2.7955e-05  3.0910e-18  7.6148e-03  1.4277e-10
  1.9885e+00  5.0443e+02  2.0234e+00  3.0826e-06  2.1368e-46  1.0923e-12  1.8062e-07  4.6432e-07  2.6367e-06  6.0657e-15  1.6197e-17  2.7955e-05  3.0670e-18  7.6148e-03  1.5503e-10
  2.0092e+00  5.0444e+02  2.0234e+00  3.0826e-06  6.3141e-46  1.1842e-12  1.9582e-07  5.0339e-07  2.8586e-06  5.9815e-15  1.6036e-17  2.7955e-05  3.0418e-18  7.6148e-03  1.6808e-10
  2.0299e+00  5.0445e+02  2.0234e+00  3.0826e-06  1.8459e-45  1.2818e-12  2.1196e-07  5.4489e-07  3.0943e-06  5.8956e-15  1.5873e-17  2.7955e-05  3.0153e-18  7.6148e-03  1.8194e-10
  2.0506e+00  5.0445e+02  2.0234e+00  3.0826e-06  5.3392e-45  1.3853e-12  2.2907e-07  5.8888e-07  3.3441e-06  5.8081e-15  1.5710e-17  2.7955e-05  2.9876e-18  7.6148e-03  1.9664e-10
  2.0712e+00  5.0446e+02  2.0234e+00  3.0825e-06  1.5279e-44  1.4949e-12  2.4719e-07  6.3546e-07  3.6086e-06  5.7193e-15  1.5546e-17  2.7955e-05  2.9587e-18  7.6148e-03  2.1220e-10
  2.0919e+00  5.0447e+02  2.0234e+00  3.0825e-06  4.3258e-44  1.6107e-12  2.6634e-07  6.8469e-07  3.8881e-06  5.6294e-15  1.5382e-17  2.7955e-05  2.9286e-18  7.6148e-03  2.2865e-10
  2.1126e+00  5.0448e+02  2.0234e+00  3.0824e-06  1.2117e-43  1.7329e-12  2.8655e-07  7.3665e-07  4.1832e-06  5.5387e-15  1.5218e-17  2.7955e-05  2.8974e-18  7.6148e-03  2.4601e-10
  2.1333e+00  5.0449e+02  2.0234e+00  3.0824e-06  3.3580e-43  1.8617e-12  3.0785e-07  7.9140e-07  4.4942e-06  5.4474e-15  1.5056e-17  2.7955e-05  2.8651e-18  7.6148e-03  2.6431e-10
  2.1540e+00  5.0449e+02  2.0234e+00  3.0823e-06  9.2070e-43  1.9973e-12  3.3027e-07  8.4903e-07  4.8214e-06  5.3557e-15  1.4895e-17  2.7955e-05  2.8318e-18  7.6148e-03  2.8357e-10
  2.1746e+00  5.0450e+02  2.0234e+00  3.0823e-06  2.4975e-42  2.1398e-12  3.5382e-07  9.0958e-07  5.1653e-06  5.2639e-15  1.4736e-17  2.7955e-05  2.7976e-18  7.6148e-03  3.0381e-10
